    tt    m             px                      py                      pz                      vx                      vy                      vz
 -2100.0  2   5.9994246802184924e-03  3.5074062426953749e-03  1.7427248987577795e-03 -3.4263174967030718e-03  4.7617872843770401e-03  2.2316060830565539e-03
 -2100.0  3  -9.7581588654807976e-03  7.3523059641405746e-03  3.3405367448201642e-03 -3.0143523069995691e-03 -3.2511268524553281e-03 -1.5823190664569918e-03
 -2000.0  0  -2.6415161613152537e-03 -8.8501354717245657e-04 -4.6339869369169806e-04  3.4981598807411083e-03 -8.4767214306006432e-03 -3.9783833332977013e-03
 -2000.0  1  -3.5728608115804176e-03  2.5181907937754256e-03  1.1064973996507644e-03 -4.7641680434167546e-03 -5.6480863561309026e-03 -2.7842765712188028e-03
 -2000.0  2   6.4910968482963178e-03  2.6928267847189046e-03  1.3602374101450213e-03 -2.6414905985840259e-03  5.1550721193522539e-03  2.4285178107353650e-03
 -2000.0  3  -9.3428670399140160e-03  7.7781162156772598e-03  3.5476218660426546e-03 -3.1918895743828983e-03 -3.1112486507016862e-03 -1.5185966650912348e-03
 -1900.0  0   2.4484608423003726e-03  1.2261799167807093e-03  6.2235795498004700e-04 -4.9095152699654612e-03  7.9508325432130628e-03  3.7067871267576795e-03
 -1900.0  1  -4.1517036956898777e-03 -1.3944560779430692e-03 -7.5652925445514438e-04  2.8439312561374008e-03 -6.7955007894168412e-03 -3.1440051576114673e-03
 -1900.0  2   6.8493366760177359e-03  1.8332230819866529e-03  9.5457144742869672e-04 -1.8051421713905342e-03  5.4415884262432766e-03  2.5751946933018108e-03
 -1900.0  3  -8.9036601012086533e-03  8.1846782666192622e-03  3.7459203400605702e-03 -3.3621519634511477e-03 -2.9617939981307147e-03 -1.4502793410531211e-03
 -1800.0  0  -2.2320467437080497e-03 -1.5384718239537843e-03 -7.6748065134185737e-04  6.1453325027102986e-03 -7.1823777034415266e-03 -3.3230468553005770e-03
 -1800.0  1  -8.6891418325059572e-04 -4.0014033367155076e-03 -1.9086958478859036e-03  7.7226679406127118e-03 -1.4829074145681486e-03 -5.2015279793723144e-04
 -1800.0  2   7.0744654517439810e-03  9.3346202082679865e-04  5.2821987259543484e-04 -9.2594443457623963e-04  5.6131154051723671e-03  2.6676286411946417e-03
 -1800.0  3  -8.4425126832168764e-03  8.5707584385160164e-03  3.9348514114942246e-03 -3.5233166892752986e-03 -2.8061036684438496e-03 -1.3789223016652215e-03
 -1700.0  0   1.9325498584801153e-03  1.8559593347569016e-03  9.1395031445382145e-04 -7.2864594747551253e-03  6.1893169579996321e-03  2.8337799320024074e-03
 -1700.0  1   3.1552492404907360e-03 -2.9107384156728186e-03 -1.2998737780823871e-03  5.5859659430281964e-03  5.0500530899207233e-03  2.5097780944189998e-03
 -1700.0  2   7.1579330430724840e-03  4.4393404545864394e-06  8.6134402153542779e-05 -2.3224321072916301e-05  5.6694028473378635e-03  2.7053437490640888e-03
 -1700.0  3  -7.9597437813760576e-03  8.9358591131261326e-03  4.1142057483375613e-03 -3.6771478485915225e-03 -2.6418873807954146e-03 -1.3034635187306404e-03
 -1600.0  0  -1.5621375349862336e-03 -2.1082737992483519e-03 -1.0285423084103245e-03  8.3129516105020160e-03 -5.0937803992216696e-03 -2.2975895614094854e-03
 -1600.0  1   4.3218025538396317e-03  9.3687611798290568e-04  5.3970027836457157e-04 -1.8816415935762642e-03  7.0424990119874230e-03  3.2742943999891265e-03
 -1600.0  2   7.0877058421909235e-03 -9.3058686255998184e-04 -3.6076007426502995e-04  8.8194964697020900e-04  5.6090321050597421e-03  2.6875672619761895e-03
 -1600.0  3  -7.4574266068864825e-03  9.2784326747253291e-03  4.2832482400198633e-03 -3.8206859772138627e-03 -2.4721627869316726e-03 -1.2252816996710979e-03
