*******************************************************************************
Ephemeris / WWW_USER Sat Apr 27 21:59:22 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2015-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2025-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN      APmag  S-brt            delta      deldot    S-T-O
**************************************************************************
$$SOE
 2015-Aug-29 00:00      -1.71   5.47 6.39809010345532  -0.7117434   0.3317
 2015-Aug-31 00:00      -1.71   5.47 6.39685467240929  -1.4264042   0.5917
 2015-Sep-02 00:00      -1.71   5.47 6.39479412868653  -2.1407158   0.8641
 2015-Sep-04 00:00      -1.71   5.48 6.39190717163638  -2.8569601   1.1396
 2015-Sep-06 00:00      -1.71   5.48 6.38819046722030  -3.5783795   1.4161
 2015-Sep-08 00:00      -1.71   5.48 6.38364113503402  -4.2987066   1.6927
 2015-Sep-10 00:00      -1.71   5.48 6.37826053414463  -5.0185103   1.9688
 2015-Sep-12 00:00      -1.71   5.48 6.37204964757436  -5.7371079   2.2441
 2015-Sep-14 00:00      -1.71   5.48 6.36500778564268  -6.4550505   2.5183
 2015-Sep-16 00:00      -1.71   5.48 6.35713956221608  -7.1674307   2.7912
 2015-Sep-18 00:00      -1.71   5.49 6.34845052571006  -7.8749553   3.0626
 2015-Sep-20 00:00      -1.71   5.49 6.33894620457606  -8.5798888   3.3322
 2015-Sep-22 00:00      -1.72   5.49 6.32863173007074  -9.2771571   3.6000
 2015-Sep-24 00:00      -1.72   5.49 6.31751719412711  -9.9666124   3.8656
 2015-Sep-26 00:00      -1.72   5.49 6.30561157942359 -10.6482487   4.1289
 2015-Sep-28 00:00      -1.72   5.49 6.29292034487631 -11.3260473   4.3897
 2015-Sep-30 00:00      -1.73   5.49 6.27945020143887 -11.9966607   4.6480
 2015-Oct-02 00:00      -1.73   5.49 6.26520706412474 -12.6630397   4.9035
 2015-Oct-04 00:00      -1.73   5.50 6.25019549012586 -13.3277469   5.1561
 2015-Oct-06 00:00      -1.74   5.50 6.23441830218657 -13.9872378   5.4056
 2015-Oct-08 00:00      -1.74   5.50 6.21788450092445 -14.6391313   5.6518
 2015-Oct-10 00:00      -1.75   5.50 6.20060369246336 -15.2817401   5.8944
 2015-Oct-12 00:00      -1.75   5.50 6.18258438548685 -15.9177353   6.1332
 2015-Oct-14 00:00      -1.76   5.50 6.16383764557551 -16.5406342   6.3681
 2015-Oct-16 00:00      -1.76   5.50 6.14437762399237 -17.1512237   6.5987
 2015-Oct-18 00:00      -1.77   5.50 6.12421890244500 -17.7506834   6.8250
 2015-Oct-20 00:00      -1.77   5.51 6.10337363269570 -18.3379647   7.0466
 2015-Oct-22 00:00      -1.78   5.51 6.08185936940524 -18.9101646   7.2634
 2015-Oct-24 00:00      -1.79   5.51 6.05969376572701 -19.4667297   7.4751
 2015-Oct-26 00:00      -1.79   5.51 6.03689230540522 -20.0124718   7.6817
 2015-Oct-28 00:00      -1.80   5.51 6.01346896484860 -20.5433928   7.8828
 2015-Oct-30 00:00      -1.81   5.51 5.98943924416386 -21.0616233   8.0784
 2015-Nov-01 00:00      -1.82   5.51 5.96481774953306 -21.5681583   8.2681
 2015-Nov-03 00:00      -1.83   5.51 5.93961604607500 -22.0638074   8.4518
 2015-Nov-05 00:00      -1.83   5.51 5.91385106446051 -22.5437809   8.6293
 2015-Nov-07 00:00      -1.84   5.51 5.88754177740964 -23.0063369   8.8001
 2015-Nov-09 00:00      -1.85   5.51 5.86070776128439 -23.4539526   8.9642
 2015-Nov-11 00:00      -1.86   5.51 5.83336846726240 -23.8807720   9.1213
 2015-Nov-13 00:00      -1.87   5.52 5.80554859552832 -24.2857875   9.2710
 2015-Nov-15 00:00      -1.88   5.52 5.77727404989628 -24.6681326   9.4132
 2015-Nov-17 00:00      -1.89   5.52 5.74856797748748 -25.0308077   9.5476
 2015-Nov-19 00:00      -1.90   5.52 5.71945672701785 -25.3695216   9.6739
 2015-Nov-21 00:00      -1.91   5.52 5.68996771430985 -25.6845526   9.7920
 2015-Nov-23 00:00      -1.92   5.52 5.66012744961649 -25.9799418   9.9016
 2015-Nov-25 00:00      -1.93   5.52 5.62995850373932 -26.2535537  10.0025
 2015-Nov-27 00:00      -1.94   5.52 5.59948672090605 -26.5050086  10.0945
 2015-Nov-29 00:00      -1.95   5.52 5.56873813260544 -26.7330565  10.1774
 2015-Dec-01 00:00      -1.97   5.52 5.53773657225508 -26.9413007  10.2508
 2015-Dec-03 00:00      -1.98   5.52 5.50650864562851 -27.1239844  10.3147
 2015-Dec-05 00:00      -1.99   5.52 5.47508425583653 -27.2801850  10.3686
 2015-Dec-07 00:00      -2.00   5.52 5.44349493308805 -27.4112502  10.4123
