 2011-Feb-05 00:00       1.05   7.09  9.595566423435   0.5173200 9.08368647823074 -25.2320397   5.1772
 2011-Feb-07 00:00       1.04   7.09  9.596164552375   0.5181327 9.05483820871966 -24.7119991   5.0733
 2011-Feb-09 00:00       1.03   7.08  9.596763352799   0.5184921 9.02661029605860 -24.1581071   4.9625
 2011-Feb-11 00:00       1.01   7.08  9.597362153689   0.5181108 8.99904096167362 -23.5719444   4.8449
 2011-Feb-13 00:00       1.00   7.07  9.597960006301   0.5169552 8.97216655751903 -22.9550204   4.7208
 2011-Feb-15 00:00       0.99   7.07  9.598556598428   0.5159825 8.94602227079671 -22.3079843   4.5901
 2011-Feb-17 00:00       0.98   7.06  9.599152294257   0.5154983 8.92064211000750 -21.6321031   4.4531
 2011-Feb-19 00:00       0.97   7.06  9.599747875937   0.5158348 8.89605895265838 -20.9280244   4.3099
 2011-Feb-21 00:00       0.95   7.05  9.600344147585   0.5165320 8.87230521699942 -20.1960347   4.1607
 2011-Feb-23 00:00       0.94   7.04  9.600941334792   0.5173670 8.84941344979261 -19.4354393   4.0056
 2011-Feb-25 00:00       0.93   7.04  9.601539278366   0.5177353 8.82741683963065 -18.6461640   3.8448
 2011-Feb-27 00:00       0.92   7.03  9.602137104484   0.5172217 8.80634814779727 -17.8288329   3.6784
 2011-Mar-01 00:00       0.91   7.02  9.602734048080   0.5161735 8.78623955649843 -16.9840176   3.5067
 2011-Mar-03 00:00       0.89   7.01  9.603329669743   0.5150923 8.76712221602463 -16.1126174   3.3300
 2011-Mar-05 00:00       0.88   7.01  9.603924407181   0.5147480 8.74902636736732 -15.2155326   3.1484
 2011-Mar-07 00:00       0.87   7.00  9.604519078749   0.5149480 8.73198057802531 -14.2948472   2.9622
 2011-Mar-09 00:00       0.86   6.99  9.605114379853   0.5157684 8.71601099203569 -13.3525454   2.7718
 2011-Mar-11 00:00       0.84   6.98  9.605710674737   0.5165668 8.70114099089650 -12.3914273   2.5775
 2011-Mar-13 00:00       0.83   6.97  9.606307605412   0.5169134 8.68739067927935 -11.4141847   2.3796
 2011-Mar-15 00:00       0.82   6.96  9.606904517661   0.5164179 8.67477722255485 -10.4235117   2.1784
 2011-Mar-17 00:00       0.81   6.96  9.607500430946   0.5153046 8.66331482271069  -9.4213841   1.9744
 2011-Mar-19 00:00       0.80   6.95  9.608095082943   0.5143531 8.65301618058084  -8.4085567   1.7680
 2011-Mar-21 00:00       0.79   6.94  9.608688826193   0.5138527 8.64389348834847  -7.3851215   1.5596
 2011-Mar-23 00:00       0.77   6.93  9.609282519348   0.5141898 8.63595955364927  -6.3502720   1.3499
 2011-Mar-25 00:00       0.76   6.92  9.609876876868   0.5149093 8.62922741667383  -5.3044280   1.1399
 2011-Mar-27 00:00       0.75   6.91  9.610472144299   0.5157728 8.62370910716832  -4.2488140   0.9308
 2011-Mar-29 00:00       0.74   6.90  9.611068138149   0.5160235 8.61941460065847  -3.1859421   0.7254
 2011-Mar-31 00:00       0.73   6.89  9.611663987665   0.5155131 8.61635091354801  -2.1180788   0.5301
 2011-Apr-02 00:00       0.73   6.89  9.612258918071   0.5144574 8.61452262242782  -1.0472654   0.3637
 2011-Apr-04 00:00       0.72   6.88  9.612852493691   0.5134006 8.61393197899423   0.0246897   0.2844
 2011-Apr-06 00:00       0.73   6.89  9.613445242257   0.5130110 8.61457943711400   1.0960307   0.3566
 2011-Apr-08 00:00       0.73   6.90  9.614037922800   0.5132509 8.61646285721023   2.1642641   0.5204
 2011-Apr-10 00:00       0.74   6.90  9.614631252081   0.5141182 8.61957723880941   3.2269755   0.7148
 2011-Apr-12 00:00       0.75   6.91  9.615225541411   0.5148520 8.62391445522580   4.2811278   0.9198
 2011-Apr-14 00:00       0.76   6.92  9.615820475102   0.5151642 8.62946329124108   5.3244929   1.1286
 2011-Apr-16 00:00       0.78   6.93  9.616415340915   0.5146430 8.63621026371638   6.3554359   1.3386
 2011-Apr-18 00:00       0.79   6.94  9.617009159603   0.5135704 8.64414081552618   7.3740827   1.5482
 2011-Apr-20 00:00       0.80   6.95  9.617601731962   0.5125562 8.65324145710502   8.3815481   1.7566
 2011-Apr-22 00:00       0.81   6.96  9.618193411381   0.5120874 8.66349969794609   9.3784040   1.9632
